Metin;Durum
çorap aparatının amacı aslında tam olarak normal çoraplar ıcın degıl daha cok lenf-ı odem ya da varıs hastalarının basınclı coraplarını saatlerce ugrasmadan normale gore sısmıs olan ayaklarına gecırmelerı ıcın yıllarca bende zorlanarak gıymıstım basınclı corapları ama bu aparat sayesınde ne acı cekıyorum ne zaman harcıyorum nasıl kullandıgına baglı bence 10/10 alet :D;2
El ısıtıcısını ben yıllardır kullanıyorum, kış mevsiminde gerçekten çok yararlı. Tekrar kullanmak istiyorsan su da kaynatman lazım, tekrar içindeki kristaller kaybolana kadar, sonra tekrar çatlatıp kullanabiliyorsun. 👍🏼;1
Orkun cidden çok umursamaz şekilde inceliyosun keşke tepki vermeden önce birsi ürünler hakkında bilgi falan alsaydı ürünleri gelişi güzel inceliyosun;0
3:42 abi yanlış yaptın bence;0
Çorap aparatı ayağına yetişemeyenler, kalça protezi olduğu için eğilmesi yasak olan kişiler için çok faydalı dikkat ederseniz sopası var eğilmemek o sopasıyla koyuyorsunuz, gerçekten çok faydalı bir ürün ama çok pahalanmış yazık. İyki yapmışlar, çok sağolsunlar..;1
el ısıtıcısını kullandıktan sonra kaynar suda bekletirsen eski haline geri dönüyo;2
Sırf biz merak edip almayalım diye bizim için o ürünleri alıp inceleyen koca yürekli Orkun seviliyorsun;1
13:00 tavuk arkada bayılmış uyumuş çocuk uyumuş 🙂🙂;2
abi o sarımsak kestiğin aletin amacı daha çok fasulye barbunya gibi yiyecekler için.;2
3:27 sen o ışıgı parçaları birleştirdikten sonra tutacaktın :D ışığı tutunca o yapıştırıcı kuruyor ondan yapışmadı;2
2:11 yarıldım sjsjslksksş;1
1:30 gülme krizine girdim;1
Abi o UV ışını yapıştırıcıyı donduruyor sen dondurup yapıştırmayı denedin;2
Orkun abi GECE GİZLİCE bir yerde kal ama MURAT ABİGFyle!!;2
o yapışkanlı aleti öyle yapmıcaksın orkun ya sürüceksin sonra elinle yapıştırıcaksın sonra ışıkla kurutucaksın gerçekten işe yarayan bi alet ben telefoncuyum ve sürekli kullanıyoruz yanlış yapmışsın;0
5:22 abi cep ısıtıcıyı 5 dk. sıcak suda beklet,bi zarar gelmediği sürece sürekli kullanıyıyo;2
1:46 evde ıslık çala çala gezdiğim hayal ettim bir an. 😅;2
abi cep ısıtıcı bana hediye olarak  gelmişti onun   eski hale gelmesi için üzerine kaynar su döküyorsun sonra bir beze sarıp 15-20 dakika bekliyorsun geri sıvılaşıyor;2
1:28 hülülülüy;2
12:10 güc seninle olsun;2
işini hakkı ve saygı ile yapan nadir youtuber orkun ışıtmak her hafta düzenli video atıyor ve takipçilerine inanılmaz saygı duyuyor buda seni kısa zamanda 1 numara yapacaktır sonuçta buradan ekmek parasını kazanıyor ve hakkını veriyor tebrikler orkun...enes batur ayda bir iki ayda bir video atar oldu buda zamanla kendisine çok fazla eksi olarak dönecektir umarım tez zamanda eski enesi de görürüz;1
"3:50 abi onu bir yere yapisdirdikdan sonra uv ışığını tutup kurutman lazım yani uv ışıgı kurutucu gibi
";2
abi starbax kahvesiylen starbaxa git starbax nerede diye sorup  dükkandan çık;2
abi fırat abi nin videolarından almışsın ürünleri :);2
Abi sen o yapışkanlı şeyi yanlış yaptın;0
Her zamanki gibi YouTuben krallarından biri....;1
Tam zamanında  yetişemedim😔Ama seni çok ama çok ama çok ama çok ama çok seviyorum Orkun abi💖;1
Bu seri çok güzel olmuş Orkun abi 💚;1
YouTube Türkiye’de senin kadar kaliteli içerik yapan başka bi YouTuber yok;1
O kalp şeklindeki el ısıtıcısını kaynar suya atıp eski haline döndürerek sonsuza kadar kullanabiliyorsun;2
ayran iyi bi yemek yancısı değildir cümlesi geldiği an alt f4 atarız mesela;0
Videodan anladığım kadarıyla bi gün bi mekanda denk gelirsek asla sizin damak zevkinize güvenmemem gerekiyor hocam;0
Kınık Sodaya çok kötü diyip Kızılaycıyım yorumu inanılmaz bir akıl tutulması;0
17:27 de ayran iyi bir yancı değildir lafında bıraktım usta;0
Allah aşkına şu çamlıca portakal saçmalığı nasıl o kadar yukarı çıktı aklım almıyo;0
Hasan’a güvenerek Çamlıca portakal aldım. Pişman oldum;0
mukemmel muhabbet ya;1
Özerhisar ayranı herkes bilmez. Balıkesir ve civarında bulabilirsiniz.;2
